id,explanation_reporting,explanation_legal,explanation_stlt,explanation_norm,explanation_harm,explanation_kant,explanation_main,ethical_reporting,ethical_legal,ethical_stlt,ethical_norm,ethical_harm,ethical_kant,ethical_main,type,survey,current_policy_ethic,new_policy_ethic,current_policy_lying,new_policy_lying,current_policy_deceptive,new_policy_deceptive,current_policy_dishonest,new_policy_dishonest,current_policy_untruthful,new_policy_untruthful,recommend_new_policy,board_vote,age,race,race_other,gender,gender_other,study,gpa,risk_tolerance,political_affiliation,political_affiliation_other,cheating_answer,score_self_reported,score_true,score_20,score_20_truthful,male,business_econ,under_represented,cheating,misreporting,trust,model,temperature
29597,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,F,human,overreporting,4,3,2,4,4,4,4,3,3,3,No opinion,Follow Consensus,21,White,,Female,,business,3.5,9,-1.0,,2017,3,3,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,
29426,0.0,0.0,1.0,0.0,0.0,1.0,F,0.0,0.0,1.0,0.0,0.0,1.0,F,human,overreporting,2,3,5,2,4,2,5,2,4,3,Yes,Against,18,White,,Male,,organizationandstrategicmanagement,,6,-1.0,,,1,1,6.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,,
29465,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,2,4,2,4,2,4,2,Yes,Abstain,19,"White,Black or African American",,Male,,olin(undecided),,6,0.0,,Astroid,3,3,10.0,7.0,1.0,0.0,1.0,0.0,0.0,-3.0,,
29460,0.0,0.0,0.0,0.0,1.0,0.0,E,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,5,4,2,4,3,4,2,4,2,No opinion,Follow Consensus,19,White,,Male,,business,,6,-1.0,,idk,2,2,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,,
29649,0.0,1.0,0.0,0.0,0.0,0.0,B,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,4,2,4,2,4,2,4,3,Yes,Follow Consensus,22,Asian,,Female,,finance,3.9,2,-1.0,,I honestly don't know,4,4,10.0,5.0,0.0,1.0,0.0,0.0,0.0,-5.0,,
29742,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,5,4,1,4,1,4,1,4,1,Yes,Against,22,Asian,,Male,,marketing,3.82,7,0.0,,idk,,2,8.0,6.0,1.0,1.0,0.0,0.0,,-2.0,,
29403,0.0,0.0,1.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,4,2,4,3,3,2,4,2,Yes,In Favor,18,Other,,Female,,business,3.7,4,-1.0,,I don't know,3,2,4.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,,
29771,0.0,1.0,1.0,0.0,0.0,0.0,B,0.0,1.0,0.0,0.0,0.0,1.0,F,human,overreporting,2,4,2,1,3,2,4,1,4,1,Yes,Follow Consensus,20,"White,Asian,Spanish, Hispanic, or Latino",,Female,,finance,3.54,4,-1.0,,oumuamua,6,6,7.0,4.0,0.0,1.0,1.0,1.0,0.0,-3.0,,
29525,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,3,4,3,2,2,3,3,3,3,2,Yes,Follow Consensus,18,White,,Female,,marketing,,6,-1.0,,meteor,4,4,8.0,6.0,0.0,1.0,0.0,0.0,0.0,-2.0,,
29432,1.0,0.0,0.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,0.0,1.0,F,human,overreporting,4,5,4,1,2,2,4,1,4,1,No,Follow Consensus,18,White,,Female,,finance,4.67,3,-1.0,,comet,,5,10.0,5.0,0.0,1.0,0.0,0.0,,-5.0,,
