Q104,Q104_4_TEXT,Q107,Q107_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q120,Q120_4_TEXT,Q123,Q123_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q1,Q5,Q5_7_TEXT,Q37,Q37_4_TEXT,Q38,Q39,Q40_1,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42,Q42_4_TEXT,Q70,Q72,Q66,Q62,Q74,Q64,Q71,Q73,Q83,Q84,Q80,Q78,Q79,SC0,id,attemptCount,attemptCount2,Test score
"1. Two years ago, under the current policy, the company reported earnings per share (EPS) of $5. What did most investors believe was the true earnings per share? - Selected Choice","1. Two years ago, under the current policy, the company reported earnings per share (EPS) of $5. What did most investors believe was the true earnings per share? - Other, please specify below: - Text","2. Suppose the company changes to the new policy and reports the true earnings per share (EPS) of $5.25. If most investors do not pay attention to the change in policy, what would most investors believe is the true earnings per share? - Selected Choice","2. Suppose the company changes to the new policy and reports the true earnings per share (EPS) of $5.25. If most investors do not pay attention to the change in policy, what would most investors believe is the true earnings per share? - Other, please specify below: - Text","1. From 1 (least ethical) to 5 (most ethical), evaluate the following policies proposed for ABC. - current policy: reported earnings are biased by 50 cents and investors are not misled as they correctly anticipate the bias","1. From 1 (least ethical) to 5 (most ethical), evaluate the following policies proposed for ABC. - new policy: reported earnings are unbiased and some investors may incorrectly assume that reported earnings are biased",2. Evaluate the following statements - the current policy is lying to investors,2. Evaluate the following statements - the new policy is lying to investors,2. Evaluate the following statements - the current policy is deceptive,2. Evaluate the following statements - the new policy is deceptive,2. Evaluate the following statements - the current policy is dishonest,2. Evaluate the following statements - the new policy is dishonest,2. Evaluate the following statements - the current policy is untruthful,2. Evaluate the following statements - the new policy is untruthful,"3. As a board member, would you recommend changing to the new policy?",4. Please explain your recommendation,"5. Please explain, in your own words, what characteristics of a reporting policy you would view as ethical, including, if needed, any relevant considerations pertinent to the context that were not discussed in the instructions.","6. Would you have any follow-up questions for the management team? (if none, please write No questions)","7. In the board meeting, the chief executive officer (CEO) argues that the current policy of over-reporting the company's Earnings Per Share (EPS) is a standard practice and that investors are accustomed to such adjustments, noting that changing the policy would be contrary to the firm's interest. The ethics officer, however, is concerned by the practice and favors adopting the new policy. 

You, as a board member, find yourself in a delicate position. Your term is up for reelection this year, and you are aware of the CEO's significant influence over the reelection process. You must cast a vote on whether to implement the new policy.","1. Two years ago,  under the current policy, the company reported earnings per share (EPS) of $5. What did most investors anticipate as being the true earnings per share? - Selected Choice","1. Two years ago,  under the current policy, the company reported earnings per share (EPS) of $5. What did most investors anticipate as being the true earnings per share? - Other, please specify below: - Text","2. Suppose the company changes to the new policy and reports the true earnings per share (EPS) of $5.25. If most investors do not pay attention to the change in policy, what would most investors anticipate as the true earnings per share? - Selected Choice","2. Suppose the company changes to the new policy and reports the true earnings per share (EPS) of $5.25. If most investors do not pay attention to the change in policy, what would most investors anticipate as the true earnings per share? - Other, please specify below: - Text","1. From 1 (least ethical) to 5 (most ethical), evaluate the following policies proposed for ABC. - current policy: reported earnings are biased by 50 cents and investors are not misled as they correctly anticipate the bias","1. From 1 (least ethical) to 5 (most ethical), evaluate the following policies proposed for ABC. - new policy: reported earnings are unbiased and some investors may incorrectly assume that reported earnings are biased",2. Evaluate the following statements - the current policy is lying to investors,2. Evaluate the following statements - the new policy is lying to investors,2. Evaluate the following statements - the current policy is deceptive,2. Evaluate the following statements - the new policy is deceptive,2. Evaluate the following statements - the current policy is dishonest,2. Evaluate the following statements - the new policy is dishonest,2. Evaluate the following statements - the current policy is untruthful,2. Evaluate the following statements - the new policy is untruthful,"3. As a board member, would you recommend changing to the new policy?",4. Please explain your recommendation,"5. Please explain, in your own words, what characteristics of a reporting policy you would view as ethical, including, if needed, any relevant considerations pertinent to the context that were not discussed in the instructions.","6. Would you have any follow-up questions for the management team? (if none, please write No questions)","7. In the board meeting, the chief executive officer (CEO) argues that the current policy of under-reporting the company's Earnings Per Share (EPS) is a standard practice and that investors are accustomed to such adjustments, noting that changing the policy would be contrary to the firm's interest. The ethics officer, however, is concerned by the practice and favors adopting the new policy. 

You, as a board member, find yourself in a delicate position. Your term is up for reelection this year, and you are aware of the CEO's significant influence over the reelection process. You must cast a vote on whether to implement the new policy.",How old are you?,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your major field of study?,What is your current GPA?,"How do you see yourself: are you a person who is generally willing to take risks, or do you try to avoid taking risks?

Scale from 0 to 10, where a 0 means you are completely unwilling to take risks and a 10 means you are very willing to take risks.
You can also use the values in-between to indicate where you fall on the scale - Scale","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""One should be very cautious with strangers""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most experts tell the truth about the limits of their knowledge""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most people can be counted on to do what they say they will do""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""These days, you must be alert or someone is likely to take advantage of you""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most salespeople are honest in describing their products""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most repair people will not overcharge people who are ignorant of their specialty""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most people answer public opinion polls honestly""","For each statement, select the option that best describes how much you agree or disagree with each statement. - ""Most adults are competent at their jobs""",Which political party do you most identify with? - Selected Choice,Which political party do you most identify with? - Other - Text,1. What number is the answer to the meaning of life?,"2. A traveler is walking on Earth with no physical obstacle, travelling at constant positive speed, but slowing down to zero speed if travelling in the assumed direction is not possible. Consider each of the following scenarios: (1) the traveler travels northwards for one hour and then southwards for one hour; (2) the traveler travels westwards for one hour and then eastwards for one hour. Choose the correct answer:",3. A man builds a house with all four walls facing south. A bear walks past the house. What color is the bear?,4. A doctor gives you 3 pills and tells you to take one pill every 30 minutes. What is the minimum amount of time to take and finish all the pills following the the prescription?,5. Would you rather?,"6. You are trapped in a room with two doors. One door leads to freedom, the other to a trap. There are two guards:
One always tells the truth
One always lies
You don’t know which guard is which, and you can ask only one question to one guard to figure out the correct door.
What question should you ask?","7. An unstoppable force meets an immovable object, which solution to this paradox is logically possible?","8. Three countries are about to attack each other with nuclear weapons and can press a button to send the missiles. They must decide simultaneously. If at least two countries press the button, the world is instantly annihilated, which is an outcome worse than winning or losing the war. If only one country presses the button, they win the war and the other two lose. If no country presses the button, the status-quo remains which is better than losing or nuclear annihilation but worse than winning. What is a rational outcome if each country cannot control the actions of the other countries?",9. What was the first interstellar object detected passing through our solar system? Please enter your answer.,10. I chose a number between 0 and 1000. Guess what it is with a single try.,"Please voluntarily self report your score, i.e., your number of correct answers out of 10. You will receive a $10 Amazon gift card if your self reported score is in the top 20% of self reported scores of all other participants.",Make your best guess of the score required to be in the top 20% of all participants if all participants report their scores truthfully.,Please make your best guess of the reported score required to be in the top 20% of all reported scores.,Score,id,attemptCount,attemptCount2,Test score
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,No,I worry about the backlash that would come if investors did not realize the change and then think we are lying to them even though we were just being more truthful.,"a policy would be ethical if all parts were clearly and constantly reported. investors should have to reread current policies, with changes from the last one emphasized, every time",no questions,Follow the consensus,19,White,,Female,,Economics and Strategy & Marketing,4,3,Agree,Disagree,Agree,Agree strongly,Agree,Disagree,Disagree,Disagree,Democrat,,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,a rock,1,10,6,10,1,29586,0,0,1
$4.50 ,,$4.75 ,,4,3,Disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,No opinion,wait ,"An ethical reporting policy should prioritize transparency, accuracy, consistency, and fairness. This means financial reports should reflect the company’s true performance without bias, providing clear and accurate information to all investors. Consistency in reporting practices is key, but any adjustments that create discrepancies between reported and actual earnings can mislead investors and create unfair advantages. Ethical reporting ensures that all investors, regardless of sophistication, have equal access to accurate information for informed decision-making.",no,Follow the consensus,,,,,,,,,,,,,,,,,,,,21,White,,Female,,business ,3.5,9,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Black,90 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,2017,500,3,20,20,3,29597,0,0,3
$4.50 ,,$4.75 ,,2,3,Agree strongly,Disagree,Agree,Disagree,Agree strongly,Disagree,Agree,Neither agree or disagree,Yes,"Being dishonest can hurt the brand, and it just bad morally. I think the investors will adjust their practices if we start to correctly report prices. ","Just reporting the true price. I think the company created an atmosphere where the investors were forced to estimate at 50 cents fewer. If we start to report the actual price, the market will adjust I think. ",No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,White,,Male,,Organization and Strategic Management,n/a,6,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Will you let me through the correct door?""",the immovable briefly teleports out of the way to let the unstoppable force through,"one country presses the button and the others do not, that country wins the war",,11,1,8,6,1,29426,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Agree,Disagree strongly,Agree strongly,Disagree strongly,No,"The reason I would not reccomend changing to the new policy is because external individuals may not recognize the change and tehrfore expect a greater number than they will actually recieve. Everyone is used to the reporting less than .50$, so the decrease will give false hopes to external indivudals.",An ethical reporting policy would be reporting the true number with no biases or modifications. ,"What is your reasoning for hcanging the reporting policy, if its assumed all firms use a slightly unethical practcie. ",Against (retain current policy),19,White,,Female,,Marketing,3.7,6,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,star,11,9,10-Jun,10-Aug,3,29582,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,would not make sense ,true reporting with accurate numbers,no questions,Follow the consensus,20,White,,Male,,finance,3.61,7,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Brown,90 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",sun,500,,8,7,3,29795,0,0,3
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,I believe that reporting not reporting the true amount is not the right thing to do.,Reporting a true worth of a company to shareholders and following the law.,Is there a more fair alternative for both sides?,Abstain,,,,,,,,,,,,,,,,,,,,19,"White,Black or African American",,Male,,Olin (Undecided),N/A,6,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree or disagree,Agree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Astroid,1,3,7,10,3,29465,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Neither agree or disagree,Disagree,Agree,Agree,Agree,Disagree strongly,Agree,Disagree strongly,No,"people already have preconceived notions and understandings, I think changing the policy would be more confusing for all.",It is ethical to report accurate numbers with accurate bias. I also think the reporting policy should be implemented in a way that is very straight forward.,no questions,Against (retain current policy),19,White,,Female,,Marketing,3.52,3,Neither agree or disagree,Disagree,Agree,Agree strongly,Agree,Disagree strongly,Neither agree or disagree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Black,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,a metallic object of some kind,11,2,8,8,2,29592,0,0,2
$4.50 ,,$4.75 ,,3,5 (most ethical),Agree,Disagree,Agree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,No opinion,"I understand the security risk, but investors also know our current tactics. It would be harder to rewire people's minds to say we are accurately reporting. ",I would view the truth as ethical. ,No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,19,White,,Male,,Business,IDK,6,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree strongly,Neither agree or disagree,Agree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Brown,60 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable briefly teleports out of the way to let the unstoppable force through,two or more countries press the button and nuclear annihilation occurs,idk,999,2,6,6,2,29460,0,0,2
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree or disagree,Yes,Potential SEC restriction caused by the old practice might create bigger risk and loss,Based on the truth,No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,22,Asian,,Female,,Finance,3.9,2,Agree strongly,Disagree,Agree,Agree,Disagree strongly,Disagree,Disagree,Agree,Democrat,,0,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,I honestly don't know,999,4,5,10,4,29649,0,0,4
