A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,1
No,Yes,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,2
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,3
No,Yes,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,4
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,5
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,6
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,7
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,8
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,9
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,10
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,11
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,underreporting,12
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,13
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,14
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,15
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,16
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,17
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,underreporting,18
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,19
No,Yes,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,20
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,21
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,22
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,23
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,24
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,25
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,26
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,27
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,28
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,29
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,30
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,31
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,32
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,33
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,34
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,35
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,36
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,37
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,38
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-002,underreporting,39
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,40
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,underreporting,41
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,42
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,43
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,underreporting,44
No,Yes,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,45
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,46
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,47
No,No,No,Yes,Yes,Yes,F,gemini-1.5-flash-002,underreporting,48
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,49
No,Yes,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,50
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,51
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,52
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,53
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,54
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,55
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,56
No,Yes,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,57
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,58
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,59
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,60
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,61
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,62
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,63
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,64
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,65
No,No,No,No,No,Yes,F,gemini-1.5-flash-002,underreporting,66
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,67
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,68
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,69
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,underreporting,70
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,71
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,72
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,73
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,74
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-002,underreporting,75
