A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,1
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,2
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,3
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,4
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,5
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,6
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,7
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,8
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,9
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,10
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,11
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,12
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,13
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,14
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,15
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,16
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,17
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,18
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,19
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,20
No,Yes,Yes,No,No,Yes,F,gemma2:9b,overreporting,21
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,22
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,23
No,Yes,No,No,Yes,Yes,F,gemma2:9b,overreporting,24
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,25
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,26
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,27
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,28
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,29
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,30
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,31
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,32
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,33
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,34
No,No,No,No,Yes,Yes,F,gemma2:9b,overreporting,35
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,36
No,No,Yes,No,Yes,Yes,F,gemma2:9b,overreporting,37
No,No,No,No,No,Yes,F,gemma2:9b,overreporting,38
No,No,Yes,No,No,Yes,F,gemma2:9b,overreporting,39
