A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,1
No,Yes,Yes,Yes,No,Yes,F,gemma2:9b,underreporting,2
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,3
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,4
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,5
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,6
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,7
No,Yes,No,No,No,Yes,F,gemma2:9b,underreporting,8
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,9
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,10
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,11
No,Yes,No,No,Yes,Yes,F,gemma2:9b,underreporting,12
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,13
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,14
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,15
No,Yes,No,No,No,Yes,F,gemma2:9b,underreporting,16
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,17
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,18
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,19
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,20
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,21
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,22
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,23
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,24
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,25
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,26
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,27
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,28
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,29
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,30
No,Yes,Yes,Yes,No,Yes,F,gemma2:9b,underreporting,31
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,32
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,33
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,34
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,35
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,36
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,37
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,38
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,39
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,40
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,41
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,42
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,43
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,44
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,45
No,Yes,No,No,Yes,Yes,F,gemma2:9b,underreporting,46
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,47
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,48
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,49
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,50
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,51
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,52
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,53
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,54
No,Yes,No,Yes,No,Yes,F,gemma2:9b,underreporting,55
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,56
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,57
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,58
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,59
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,60
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,61
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,62
No,Yes,No,No,Yes,Yes,F,gemma2:9b,underreporting,63
No,No,No,No,Yes,Yes,F,gemma2:9b,underreporting,64
No,No,No,No,No,Yes,F,gemma2:9b,underreporting,65
