A,B,C,D,E,F,most important category,model,survey,id
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,1
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,2
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,3
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,4
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,5
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,6
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,7
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,8
No,No,Yes,No,Yes,Yes,F,gpt-4o,underreporting,9
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,10
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,11
No,No,Yes,No,Yes,Yes,F,gpt-4o,underreporting,12
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,13
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,14
No,No,No,Yes,No,Yes,F,gpt-4o,underreporting,15
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,16
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,17
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,18
No,No,Yes,No,No,Yes,F,gpt-4o,underreporting,19
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,20
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,21
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,22
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,23
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,24
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,25
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,26
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,27
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,28
No,No,No,No,Yes,Yes,F,gpt-4o,underreporting,29
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,30
No,No,Yes,No,No,Yes,F,gpt-4o,underreporting,31
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,32
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,33
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,34
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,35
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,36
No,No,No,No,Yes,Yes,F,gpt-4o,underreporting,37
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,38
No,No,Yes,No,Yes,Yes,F,gpt-4o,underreporting,39
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,40
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,41
No,No,No,No,Yes,Yes,F,gpt-4o,underreporting,42
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,43
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,44
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,45
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,46
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,47
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,48
No,No,No,No,Yes,Yes,F,gpt-4o,underreporting,49
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,50
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,51
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,52
No,No,No,No,No,Yes,F,gpt-4o,underreporting,53
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,54
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,55
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,56
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,57
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,58
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,59
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,60
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,61
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,62
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,63
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,64
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,65
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,66
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,67
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,68
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,69
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,70
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,71
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,72
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,73
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,74
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,75
No,No,No,No,No,Yes,F,gpt-4o,underreporting,76
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,77
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,78
No,No,Yes,No,Yes,Yes,F,gpt-4o,underreporting,79
No,No,No,No,Yes,Yes,F,gpt-4o,underreporting,80
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,81
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,82
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,83
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,84
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,85
No,No,No,No,No,Yes,F,gpt-4o,underreporting,86
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,87
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,88
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,89
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,underreporting,90
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,91
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,92
No,Yes,No,Yes,No,Yes,F,gpt-4o,underreporting,93
No,No,No,No,No,Yes,F,gpt-4o,underreporting,94
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,95
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,96
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,97
No,Yes,Yes,No,No,Yes,F,gpt-4o,underreporting,98
No,Yes,No,No,No,Yes,F,gpt-4o,underreporting,99
No,Yes,No,No,Yes,Yes,F,gpt-4o,underreporting,100
