A,B,C,D,E,F,most important category,id
No,No,No,No,Yes,Yes,F,29586
No,No,No,No,Yes,Yes,F,29597
No,No,Yes,No,No,Yes,F,29426
No,No,No,No,No,Yes,F,29582
No,No,No,No,No,Yes,F,29795
No,Yes,No,No,No,Yes,F,29465
No,No,No,No,No,Yes,F,29592
No,No,No,No,No,Yes,F,29460
No,No,No,No,No,Yes,F,29649
No,No,No,No,No,Yes,F,29435
No,No,No,No,Yes,Yes,F,29698
No,No,No,No,No,Yes,F,29742
No,No,No,No,No,Yes,F,29403
No,Yes,No,No,No,Yes,F,29771
No,No,No,No,No,Yes,F,29401
No,No,No,No,Yes,Yes,F,29329
No,No,No,No,No,Yes,F,29737
No,No,No,No,No,Yes,F,29346
No,No,No,No,No,Yes,F,29525
No,No,No,No,No,Yes,F,29432
No,No,No,No,No,Yes,F,29792
No,No,No,No,Yes,Yes,F,29433
No,No,No,No,Yes,Yes,F,29375
No,No,No,No,No,Yes,F,29542
No,No,No,No,Yes,Yes,E,29728
No,No,No,No,No,Yes,F,29650
No,No,No,No,No,Yes,F,29396
No,No,No,No,No,Yes,F,29451
No,No,No,No,No,Yes,F,29581
No,No,No,No,No,Yes,F,29450
No,No,No,No,No,Yes,F,29805
No,No,Yes,No,No,Yes,C,29421
No,No,No,No,Yes,Yes,E,29796
No,No,No,No,No,Yes,F,29406
No,No,No,No,Yes,No,E,29192
No,No,No,No,No,Yes,F,29391
No,No,No,Yes,No,No,D,29394
No,No,No,No,No,Yes,F,29776
No,No,No,No,Yes,Yes,F,29320
No,No,No,No,No,No,None,29373
No,No,No,No,No,Yes,F,29658
No,No,No,No,No,Yes,F,29521
No,No,No,No,Yes,Yes,F,29567
No,No,No,No,No,Yes,F,29794
No,No,No,No,No,Yes,F,29447
No,No,No,No,No,Yes,F,29362
No,No,No,No,No,Yes,F,29418
No,No,No,No,No,No,None,29324
No,No,No,No,No,Yes,F,29641
No,No,No,No,No,Yes,F,29386
No,No,No,No,Yes,Yes,F,29436
No,No,No,No,No,Yes,F,29799
No,No,No,No,No,No,None,28959
No,No,No,No,Yes,Yes,F,29546
No,No,No,No,No,Yes,F,29595
No,No,No,No,No,Yes,F,29427
No,No,No,No,No,Yes,F,29338
No,No,No,No,No,Yes,F,29520
No,No,No,No,No,Yes,F,29665
No,No,No,No,No,Yes,F,29705
No,No,No,No,Yes,Yes,F,29458
No,No,No,No,No,Yes,F,29443
No,No,No,No,No,Yes,F,29425
No,No,No,No,No,Yes,F,29463
No,No,No,No,No,Yes,F,29573
No,No,No,No,No,Yes,F,29773
No,No,No,No,Yes,Yes,F,29363
No,No,No,No,No,No,None,29352
No,No,No,No,No,Yes,F,29335
No,No,No,No,No,Yes,F,29003
No,No,No,No,No,Yes,F,29571
No,No,No,No,Yes,No,E,29741
No,No,No,No,No,Yes,F,29006
No,No,Yes,No,No,Yes,C,29732
No,No,No,No,No,Yes,F,29697
No,No,No,No,No,Yes,F,29454
No,No,No,No,No,Yes,F,29830
No,No,No,No,No,Yes,F,29593
No,No,No,No,No,Yes,F,29583
No,No,No,No,No,Yes,F,29815
No,No,No,No,No,Yes,F,29377
