A,B,C,D,E,F,most important category,model,survey,id
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,1
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,2
No,No,No,Yes,No,Yes,F,llama3.1:70b,underreporting,3
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,underreporting,4
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,5
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,underreporting,6
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,7
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,8
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,9
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,10
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,11
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,12
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,13
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,14
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,underreporting,15
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,16
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,17
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,18
No,Yes,No,Yes,No,Yes,F,llama3.1:70b,underreporting,19
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,20
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,21
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,22
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,23
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,24
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,25
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,26
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,27
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,28
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,29
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,30
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,31
No,Yes,No,Yes,No,Yes,F,llama3.1:70b,underreporting,32
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,33
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,34
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,35
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,36
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,underreporting,37
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,38
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,39
No,Yes,No,Yes,No,Yes,F,llama3.1:70b,underreporting,40
No,Yes,Yes,Yes,Yes,Yes,F,llama3.1:70b,underreporting,41
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,42
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,43
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,44
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,45
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,46
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,47
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,48
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,49
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,50
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,51
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,52
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,53
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,54
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,55
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,56
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,underreporting,57
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,58
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,59
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,60
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,61
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,62
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,63
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,64
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,65
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,66
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,67
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,68
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,69
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,70
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,71
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,72
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,73
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,underreporting,74
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,75
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,underreporting,76
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,77
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,78
No,No,No,No,Yes,Yes,F,llama3.1:70b,underreporting,79
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,underreporting,80
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,underreporting,81
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,82
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,83
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,84
No,Yes,No,No,No,Yes,F,llama3.1:70b,underreporting,85
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,86
No,Yes,Yes,Yes,Yes,Yes,F,llama3.1:70b,underreporting,87
No,Yes,No,No,Yes,Yes,F,llama3.1:70b,underreporting,88
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,89
No,No,Yes,No,No,Yes,F,llama3.1:70b,underreporting,90
No,No,No,No,No,Yes,F,llama3.1:70b,underreporting,91
