A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,1
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,2
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,3
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,4
No,Yes,No,No,Yes,Yes,F,llama3.1:8b,overreporting,5
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,6
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,7
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,8
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,9
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,10
No,No,Yes,No,Yes,Yes,F,llama3.1:8b,overreporting,11
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,12
No,Yes,No,No,Yes,Yes,F,llama3.1:8b,overreporting,13
No,No,Yes,No,Yes,Yes,F,llama3.1:8b,overreporting,14
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,15
No,No,Yes,No,Yes,Yes,F,llama3.1:8b,overreporting,16
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,17
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,18
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,19
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,20
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,21
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,22
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,23
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,24
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,25
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,26
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,27
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,28
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,29
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,30
No,No,No,No,Yes,Yes,F,llama3.1:8b,overreporting,31
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,32
