A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,1
No,No,Yes,No,No,Yes,F,mistral:7b,overreporting,2
No,No,Yes,No,Yes,Yes,F,mistral:7b,overreporting,3
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,4
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,5
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,6
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,7
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,8
No,No,Yes,No,Yes,Yes,F,mistral:7b,overreporting,9
No,No,Yes,No,No,Yes,F,mistral:7b,overreporting,10
No,Yes,Yes,No,No,Yes,B,mistral:7b,overreporting,11
No,No,Yes,No,No,Yes,C,mistral:7b,overreporting,12
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,13
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,14
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,15
No,Yes,Yes,No,No,Yes,C,mistral:7b,overreporting,16
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,17
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,18
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,19
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,20
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,21
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,22
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,23
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,24
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,25
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,26
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,27
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,28
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,29
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,30
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,31
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,32
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,33
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,34
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,35
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,36
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,37
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,overreporting,38
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,39
No,Yes,No,Yes,No,Yes,F,mistral:7b,overreporting,40
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,41
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,42
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,43
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,44
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,45
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,46
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,47
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,48
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,overreporting,49
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,50
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,51
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,52
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,53
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,54
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,55
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,56
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,57
No,No,Yes,No,No,Yes,F,mistral:7b,overreporting,58
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,59
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,60
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,61
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,62
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,63
No,Yes,Yes,No,No,Yes,C,mistral:7b,overreporting,64
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,65
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,66
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,67
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,68
No,No,Yes,No,No,Yes,F,mistral:7b,overreporting,69
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,70
No,Yes,No,Yes,Yes,Yes,F,mistral:7b,overreporting,71
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,72
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,73
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,74
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,75
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,76
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,77
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,78
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,79
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,80
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,81
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,82
No,No,Yes,No,Yes,Yes,F,mistral:7b,overreporting,83
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,84
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,85
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,86
No,No,No,No,No,Yes,F,mistral:7b,overreporting,87
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,88
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,89
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,90
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,91
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,overreporting,92
No,Yes,Yes,No,No,Yes,F,mistral:7b,overreporting,93
No,Yes,No,No,No,Yes,F,mistral:7b,overreporting,94
No,Yes,No,No,Yes,Yes,F,mistral:7b,overreporting,95
No,No,No,No,Yes,Yes,F,mistral:7b,overreporting,96
No,Yes,Yes,Yes,No,Yes,F,mistral:7b,overreporting,97
No,No,Yes,No,Yes,Yes,F,mistral:7b,overreporting,98
