A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,1
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,2
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,3
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,4
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,5
No,No,No,No,No,Yes,F,mistral:7b,underreporting,6
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,7
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,8
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,9
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,10
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,11
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,12
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,13
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,14
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,15
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,16
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,17
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,18
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,19
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,20
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,21
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,22
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,23
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,24
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,25
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,26
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,27
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,28
No,No,No,No,No,Yes,F,mistral:7b,underreporting,29
No,No,Yes,No,Yes,Yes,C,mistral:7b,underreporting,30
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,31
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,32
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,33
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,34
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,35
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,36
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,37
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,38
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,39
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,40
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,41
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,42
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,43
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,44
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,45
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,46
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,47
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,48
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,49
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,50
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,51
No,No,No,No,No,Yes,F,mistral:7b,underreporting,52
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,53
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,54
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,55
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,56
No,No,No,No,No,Yes,F,mistral:7b,underreporting,57
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,58
No,No,No,No,No,Yes,F,mistral:7b,underreporting,59
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,60
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,61
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,62
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,63
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,64
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,65
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,66
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,67
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,68
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,69
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,70
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,71
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,72
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,73
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,74
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,75
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,76
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,77
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,78
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,79
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,80
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,81
No,No,No,No,No,Yes,F,mistral:7b,underreporting,82
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,83
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,84
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,85
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,86
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,87
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,88
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,89
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,90
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,91
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,92
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,93
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,94
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,95
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,96
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,97
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,98
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,99
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,100
