A,B,C,D,E,F,most important category,model,survey,id
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,1
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,2
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,3
Yes,Yes,No,No,Yes,No,A,llama3.1:8b,overreporting,4
Yes,Yes,No,No,Yes,No,E,llama3.1:8b,overreporting,5
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,6
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,7
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,8
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,9
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,10
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,overreporting,11
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,12
Yes,Yes,No,No,Yes,No,A,llama3.1:8b,overreporting,13
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,14
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,15
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,16
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,17
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,18
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,19
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,20
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,21
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,22
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,23
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,24
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,25
Yes,Yes,No,No,Yes,No,A,llama3.1:8b,overreporting,26
No,No,No,No,Yes,Yes,E,llama3.1:8b,overreporting,27
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,28
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,29
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,30
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,31
No,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,32
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,33
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,34
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,35
No,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,36
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,37
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,38
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,overreporting,39
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,40
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,41
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,42
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,43
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,44
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,45
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,46
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,47
No,No,Yes,No,No,Yes,C,llama3.1:8b,overreporting,48
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,49
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,50
No,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,51
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,52
No,Yes,No,No,Yes,Yes,F,llama3.1:8b,overreporting,53
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,54
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,55
Yes,No,No,Yes,Yes,No,A,llama3.1:8b,overreporting,56
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,57
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,58
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,59
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,60
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,61
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,62
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,63
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,64
Yes,No,No,Yes,Yes,No,A,llama3.1:8b,overreporting,65
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,66
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,67
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,68
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,69
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,70
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,71
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,72
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,73
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,74
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,75
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,76
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,77
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,78
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,79
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,80
No,No,Yes,No,No,Yes,C,llama3.1:8b,overreporting,81
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,82
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,83
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,84
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,85
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,overreporting,86
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,overreporting,87
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,88
No,No,No,No,Yes,Yes,None,llama3.1:8b,overreporting,89
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,90
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,91
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,92
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,93
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,94
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,95
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,96
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,97
No,Yes,No,No,No,Yes,F,llama3.1:8b,overreporting,98
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,99
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,100
