A,B,C,D,E,F,most important category,model,survey,id
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,1
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,2
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,3
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,4
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,overreporting,5
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,6
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,7
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,8
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,9
No,No,No,No,No,Yes,F,llama3.1:8b,overreporting,10
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,11
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,12
No,Yes,No,No,No,Yes,F,llama3.1:8b,overreporting,13
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,14
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,15
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,16
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,17
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,18
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,19
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,20
Yes,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,21
No,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,22
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,23
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,24
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,25
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,26
No,Yes,Yes,No,Yes,Yes,F,llama3.1:8b,overreporting,27
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,28
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,29
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,30
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,31
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,32
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,33
Yes,Yes,No,No,No,No,A,llama3.1:8b,overreporting,34
No,Yes,No,No,Yes,Yes,F,llama3.1:8b,overreporting,35
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,36
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,37
Yes,Yes,No,No,Yes,No,A,llama3.1:8b,overreporting,38
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,39
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,40
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,41
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,42
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,43
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,44
No,No,No,No,Yes,Yes,E,llama3.1:8b,overreporting,45
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,46
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,47
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,48
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,49
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,50
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,51
No,Yes,No,No,Yes,No,B,llama3.1:8b,overreporting,52
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,53
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,54
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,55
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,56
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,57
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,58
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,59
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,60
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,61
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,62
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,63
No,Yes,No,No,No,Yes,B,llama3.1:8b,overreporting,64
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,65
No,Yes,No,No,Yes,No,E,llama3.1:8b,overreporting,66
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,67
Yes,No,No,Yes,Yes,No,A,llama3.1:8b,overreporting,68
No,No,Yes,No,Yes,Yes,F,llama3.1:8b,overreporting,69
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,70
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,71
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,72
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,73
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,74
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,75
No,Yes,Yes,No,Yes,Yes,C,llama3.1:8b,overreporting,76
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,77
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,78
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,79
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,80
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,81
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,82
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,83
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,84
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,85
Yes,No,No,No,Yes,No,E,llama3.1:8b,overreporting,86
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,87
No,No,Yes,No,No,Yes,F,llama3.1:8b,overreporting,88
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,89
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,90
Yes,No,No,No,No,No,A,llama3.1:8b,overreporting,91
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,92
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,93
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,94
No,Yes,No,No,Yes,No,E,llama3.1:8b,overreporting,95
No,No,Yes,No,No,Yes,C,llama3.1:8b,overreporting,96
No,No,No,No,Yes,No,E,llama3.1:8b,overreporting,97
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,98
Yes,No,No,No,Yes,No,A,llama3.1:8b,overreporting,99
No,No,Yes,No,No,Yes,C,llama3.1:8b,overreporting,100
