A,B,C,D,E,F,most important category,model,survey,id
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,1
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,2
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,3
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,4
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,5
No,No,Yes,No,No,Yes,C,llama3.1:8b,underreporting,6
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,7
No,No,No,No,Yes,Yes,F,llama3.1:8b,underreporting,8
No,No,Yes,No,No,Yes,C,llama3.1:8b,underreporting,9
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,10
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,underreporting,11
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,12
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,13
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,14
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,15
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,16
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,17
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,18
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,19
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,20
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,21
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,22
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,23
No,No,No,No,Yes,Yes,E,llama3.1:8b,underreporting,24
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,25
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,26
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,27
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,28
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,29
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,30
No,No,No,No,No,No,None,llama3.1:8b,underreporting,31
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,32
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,33
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,34
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,35
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,36
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,37
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,38
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,39
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,40
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,41
No,Yes,Yes,No,No,Yes,C,llama3.1:8b,underreporting,42
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,43
No,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,44
Yes,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,45
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,46
No,No,Yes,No,No,Yes,F,llama3.1:8b,underreporting,47
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,48
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,49
Yes,No,No,Yes,Yes,No,A,llama3.1:8b,underreporting,50
No,No,Yes,No,No,Yes,F,llama3.1:8b,underreporting,51
No,No,No,No,Yes,Yes,F,llama3.1:8b,underreporting,52
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,underreporting,53
No,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,54
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,55
No,Yes,No,No,No,Yes,B,llama3.1:8b,underreporting,56
