A,B,C,D,E,F,most important category,model,survey,id
No,No,No,Yes,Yes,No,E,llama3.1:8b,underreporting,1
No,Yes,Yes,No,No,Yes,F,llama3.1:8b,underreporting,2
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,3
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,4
Yes,No,No,Yes,No,No,A,llama3.1:8b,underreporting,5
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,6
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,7
No,No,No,No,Yes,Yes,F,llama3.1:8b,underreporting,8
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,9
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,10
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,11
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,12
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,13
No,No,No,No,No,No,None,llama3.1:8b,underreporting,14
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,15
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,16
No,No,No,No,No,Yes,F,llama3.1:8b,underreporting,17
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,18
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,19
No,Yes,Yes,No,No,Yes,B,llama3.1:8b,underreporting,20
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,21
No,No,Yes,No,No,Yes,F,llama3.1:8b,underreporting,22
No,No,Yes,No,No,Yes,F,llama3.1:8b,underreporting,23
Yes,Yes,No,No,No,No,A,llama3.1:8b,underreporting,24
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,25
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,26
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,27
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,28
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,29
Yes,No,No,Yes,Yes,No,E,llama3.1:8b,underreporting,30
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,31
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,32
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,33
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,34
Yes,No,Yes,No,Yes,No,A,llama3.1:8b,underreporting,35
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,36
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,37
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,38
No,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,39
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,40
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,41
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,42
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,43
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,44
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,45
No,No,No,No,No,Yes,F,llama3.1:8b,underreporting,46
No,Yes,Yes,No,No,No,B,llama3.1:8b,underreporting,47
No,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,48
No,No,Yes,No,No,Yes,C,llama3.1:8b,underreporting,49
Yes,No,Yes,No,No,No,C,llama3.1:8b,underreporting,50
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,51
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,52
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,53
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,54
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,55
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,56
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,57
Yes,Yes,No,No,No,No,B,llama3.1:8b,underreporting,58
No,No,No,No,No,Yes,F,llama3.1:8b,underreporting,59
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,60
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,61
Yes,Yes,No,No,No,No,A,llama3.1:8b,underreporting,62
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,63
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,64
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,65
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,66
Yes,Yes,No,No,Yes,No,A,llama3.1:8b,underreporting,67
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,68
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,69
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,70
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,71
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,72
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,73
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,74
Yes,No,No,No,No,No,A,llama3.1:8b,underreporting,75
No,No,No,No,No,Yes,F,llama3.1:8b,underreporting,76
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,77
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,78
No,No,Yes,No,No,No,C,llama3.1:8b,underreporting,79
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,80
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,81
Yes,No,No,No,No,Yes,F,llama3.1:8b,underreporting,82
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,83
No,No,No,No,No,No,None,llama3.1:8b,underreporting,84
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,85
No,No,No,No,Yes,Yes,F,llama3.1:8b,underreporting,86
No,No,No,Yes,Yes,No,E,llama3.1:8b,underreporting,87
Yes,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,88
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,89
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,90
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,91
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,92
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,93
Yes,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,94
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,95
No,No,No,Yes,Yes,No,E,llama3.1:8b,underreporting,96
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,97
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,98
No,Yes,No,No,Yes,No,B,llama3.1:8b,underreporting,99
Yes,No,No,No,Yes,No,E,llama3.1:8b,underreporting,100
