A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,Yes,No,C,mistral:7b,underreporting,1
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,2
No,Yes,Yes,No,Yes,No,C,mistral:7b,underreporting,3
No,No,No,No,No,Yes,F,mistral:7b,underreporting,4
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,5
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,6
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,7
No,Yes,Yes,No,No,No,C,mistral:7b,underreporting,8
No,No,Yes,No,Yes,No,C,mistral:7b,underreporting,9
No,Yes,No,No,Yes,Yes,B,mistral:7b,underreporting,10
No,Yes,Yes,No,No,No,B,mistral:7b,underreporting,11
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,12
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,13
No,Yes,No,No,Yes,No,E,mistral:7b,underreporting,14
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,15
No,Yes,No,No,Yes,Yes,B,mistral:7b,underreporting,16
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,17
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,18
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,19
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,20
No,Yes,Yes,No,No,No,B,mistral:7b,underreporting,21
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,22
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,23
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,24
No,Yes,No,No,Yes,No,B,mistral:7b,underreporting,25
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,26
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,27
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,28
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,29
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,30
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,31
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,32
No,Yes,No,No,Yes,Yes,B,mistral:7b,underreporting,33
No,Yes,No,No,Yes,No,B,mistral:7b,underreporting,34
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,35
No,No,No,No,Yes,No,E,mistral:7b,underreporting,36
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,37
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,38
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,39
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,40
No,No,No,No,Yes,No,E,mistral:7b,underreporting,41
No,No,Yes,No,Yes,Yes,F,mistral:7b,underreporting,42
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,43
No,No,Yes,No,Yes,Yes,C,mistral:7b,underreporting,44
No,No,Yes,No,Yes,Yes,C,mistral:7b,underreporting,45
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,46
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,47
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,48
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,49
Yes,No,No,No,Yes,No,A,mistral:7b,underreporting,50
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,51
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,52
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,53
No,Yes,Yes,No,No,No,C,mistral:7b,underreporting,54
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,55
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,56
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,57
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,58
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,59
No,No,No,No,Yes,No,E,mistral:7b,underreporting,60
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,61
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,62
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,63
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,64
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,65
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,66
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,67
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,68
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,69
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,70
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,71
No,Yes,Yes,No,No,No,B,mistral:7b,underreporting,72
No,Yes,Yes,No,No,No,C,mistral:7b,underreporting,73
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,74
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,75
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,76
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,77
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,78
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,79
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,80
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,81
No,No,Yes,No,No,Yes,C,mistral:7b,underreporting,82
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,83
No,No,No,No,Yes,No,E,mistral:7b,underreporting,84
No,Yes,No,No,No,Yes,F,mistral:7b,underreporting,85
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,86
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,87
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,88
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,89
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,90
No,No,No,No,No,Yes,F,mistral:7b,underreporting,91
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,92
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,93
No,Yes,No,No,Yes,Yes,F,mistral:7b,underreporting,94
No,No,No,No,Yes,Yes,F,mistral:7b,underreporting,95
No,Yes,No,No,Yes,No,B,mistral:7b,underreporting,96
No,Yes,Yes,No,No,No,B,mistral:7b,underreporting,97
No,Yes,Yes,No,No,Yes,C,mistral:7b,underreporting,98
No,No,Yes,No,No,Yes,F,mistral:7b,underreporting,99
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,100
