A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,Yes,No,E,gemma2:27b,overreporting,1
No,Yes,Yes,No,No,No,C,gemma2:27b,overreporting,2
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,3
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,4
No,Yes,Yes,No,No,No,C,gemma2:27b,overreporting,5
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,6
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,7
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,8
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,9
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,10
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,11
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,12
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,13
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,14
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,15
No,No,Yes,No,Yes,No,C,gemma2:27b,overreporting,16
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,17
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,18
Yes,No,Yes,No,Yes,No,A,gemma2:27b,overreporting,19
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,20
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,21
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,22
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,23
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,24
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,25
No,Yes,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,26
No,Yes,Yes,No,Yes,No,C,gemma2:27b,overreporting,27
No,No,Yes,No,No,Yes,C,gemma2:27b,overreporting,28
No,Yes,Yes,No,No,Yes,C,gemma2:27b,overreporting,29
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,30
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,31
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,32
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,33
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,34
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,35
No,No,Yes,No,No,Yes,C,gemma2:27b,overreporting,36
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,37
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,38
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,39
No,No,Yes,No,No,Yes,C,gemma2:27b,overreporting,40
No,Yes,Yes,No,No,Yes,B,gemma2:27b,overreporting,41
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,42
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,43
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,44
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,45
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,46
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,47
No,Yes,Yes,No,No,Yes,C,gemma2:27b,overreporting,48
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,49
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,50
No,Yes,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,51
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,52
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,53
Yes,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,54
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,55
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,56
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,57
No,Yes,Yes,No,No,Yes,C,gemma2:27b,overreporting,58
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,59
No,No,Yes,No,No,Yes,C,gemma2:27b,overreporting,60
No,Yes,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,61
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,62
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,63
No,Yes,Yes,No,Yes,No,C,gemma2:27b,overreporting,64
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,65
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,66
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,67
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,68
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,69
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,70
No,No,Yes,No,No,Yes,F,gemma2:27b,overreporting,71
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,72
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,73
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,74
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,75
No,Yes,Yes,No,No,Yes,C,gemma2:27b,overreporting,76
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,77
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,78
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,79
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,80
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,81
No,Yes,Yes,No,No,Yes,B,gemma2:27b,overreporting,82
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,83
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,84
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,85
Yes,No,Yes,No,Yes,No,E,gemma2:27b,overreporting,86
No,Yes,Yes,No,No,Yes,B,gemma2:27b,overreporting,87
No,No,Yes,No,Yes,Yes,C,gemma2:27b,overreporting,88
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,89
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,90
No,Yes,Yes,No,No,Yes,B,gemma2:27b,overreporting,91
No,No,Yes,No,Yes,No,E,gemma2:27b,overreporting,92
No,No,Yes,No,Yes,No,C,gemma2:27b,overreporting,93
No,No,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,94
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,95
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,96
No,Yes,Yes,No,Yes,Yes,B,gemma2:27b,overreporting,97
No,Yes,Yes,No,Yes,Yes,F,gemma2:27b,overreporting,98
No,No,Yes,No,No,Yes,C,gemma2:27b,overreporting,99
No,Yes,Yes,No,No,Yes,F,gemma2:27b,overreporting,100
