A,B,C,D,E,F,most important category,model,survey,id
Yes,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,1
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,2
No,No,Yes,No,No,Yes,C,gemma2:9b,underreporting,3
No,Yes,Yes,No,No,Yes,B,gemma2:9b,underreporting,4
Yes,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,5
No,No,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,6
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,7
No,Yes,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,8
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,9
No,Yes,Yes,No,Yes,No,C,gemma2:9b,underreporting,10
No,Yes,Yes,No,No,Yes,C,gemma2:9b,underreporting,11
Yes,No,Yes,No,No,No,C,gemma2:9b,underreporting,12
No,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,13
No,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,14
Yes,No,Yes,No,Yes,No,E,gemma2:9b,underreporting,15
No,Yes,Yes,No,No,No,C,gemma2:9b,underreporting,16
No,Yes,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,17
No,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,18
No,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,19
Yes,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,20
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,21
No,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,22
No,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,23
No,No,Yes,No,No,No,C,gemma2:9b,underreporting,24
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,25
No,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,26
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,27
No,No,Yes,No,No,No,C,gemma2:9b,underreporting,28
Yes,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,29
No,No,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,30
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,31
No,No,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,32
No,No,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,33
No,Yes,Yes,No,No,Yes,F,gemma2:9b,underreporting,34
No,Yes,Yes,No,No,Yes,C,gemma2:9b,underreporting,35
No,Yes,Yes,No,Yes,Yes,F,gemma2:9b,underreporting,36
No,No,Yes,No,No,No,C,gemma2:9b,underreporting,37
No,No,Yes,No,No,Yes,F,gemma2:9b,underreporting,38
Yes,No,No,No,Yes,No,A,gemma2:9b,underreporting,39
No,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,40
No,Yes,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,41
No,No,Yes,No,Yes,Yes,C,gemma2:9b,underreporting,42
Yes,No,Yes,No,Yes,No,C,gemma2:9b,underreporting,43
