A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,1
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,2
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,3
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,4
No,Yes,Yes,No,Yes,No,C,llama3.1:70b,overreporting,5
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,6
No,Yes,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,7
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,8
No,Yes,Yes,No,Yes,No,C,llama3.1:70b,overreporting,9
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,10
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,11
No,Yes,No,Yes,Yes,Yes,F,llama3.1:70b,overreporting,12
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,13
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,14
No,No,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,15
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,16
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,17
No,Yes,Yes,Yes,No,No,C,llama3.1:70b,overreporting,18
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,19
Yes,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,20
No,Yes,Yes,No,No,No,C,llama3.1:70b,overreporting,21
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,22
No,No,Yes,No,No,Yes,C,llama3.1:70b,overreporting,23
No,No,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,24
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,25
Yes,Yes,Yes,No,Yes,No,B,llama3.1:70b,overreporting,26
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,27
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,28
No,Yes,Yes,Yes,Yes,Yes,F,llama3.1:70b,overreporting,29
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,30
Yes,No,Yes,Yes,Yes,No,C,llama3.1:70b,overreporting,31
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,32
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,33
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,34
No,Yes,Yes,Yes,Yes,Yes,B,llama3.1:70b,overreporting,35
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,36
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,37
No,Yes,Yes,Yes,Yes,Yes,F,llama3.1:70b,overreporting,38
No,Yes,Yes,No,Yes,No,C,llama3.1:70b,overreporting,39
No,Yes,Yes,Yes,No,Yes,C,llama3.1:70b,overreporting,40
No,Yes,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,41
0,,0,0,,,0,llama3.1:70b,overreporting,42
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,43
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,44
No,Yes,Yes,Yes,No,Yes,C,llama3.1:70b,overreporting,45
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,46
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,47
No,Yes,Yes,Yes,No,No,C,llama3.1:70b,overreporting,48
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,49
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,50
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,51
No,Yes,Yes,Yes,No,No,C,llama3.1:70b,overreporting,52
No,Yes,Yes,Yes,No,No,B,llama3.1:70b,overreporting,53
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,54
No,Yes,Yes,Yes,Yes,Yes,F,llama3.1:70b,overreporting,55
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,56
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,57
No,Yes,No,No,Yes,Yes,B,llama3.1:70b,overreporting,58
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,59
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,60
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,61
Yes,Yes,Yes,Yes,No,Yes,F,llama3.1:70b,overreporting,62
No,Yes,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,63
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,64
No,Yes,Yes,No,Yes,No,B,llama3.1:70b,overreporting,65
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,66
No,No,No,No,Yes,No,E,llama3.1:70b,overreporting,67
No,Yes,Yes,No,No,Yes,B,llama3.1:70b,overreporting,68
No,Yes,Yes,Yes,No,Yes,B,llama3.1:70b,overreporting,69
No,Yes,Yes,Yes,No,Yes,C,llama3.1:70b,overreporting,70
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,71
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,72
No,Yes,Yes,No,Yes,Yes,B,llama3.1:70b,overreporting,73
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,74
No,Yes,Yes,No,Yes,No,C,llama3.1:70b,overreporting,75
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,76
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,77
No,Yes,No,No,No,Yes,B,llama3.1:70b,overreporting,78
No,Yes,Yes,Yes,No,Yes,F,llama3.1:70b,overreporting,79
No,No,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,80
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,81
Yes,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,82
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,83
No,No,Yes,Yes,Yes,Yes,F,llama3.1:70b,overreporting,84
No,Yes,Yes,No,Yes,Yes,C,llama3.1:70b,overreporting,85
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,86
No,Yes,Yes,Yes,No,Yes,F,llama3.1:70b,overreporting,87
No,Yes,Yes,No,Yes,No,C,llama3.1:70b,overreporting,88
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,89
Yes,No,Yes,Yes,Yes,No,C,llama3.1:70b,overreporting,90
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,91
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,92
No,No,Yes,No,No,Yes,C,llama3.1:70b,overreporting,93
No,Yes,Yes,No,No,Yes,B,llama3.1:70b,overreporting,94
No,Yes,Yes,Yes,Yes,No,D,llama3.1:70b,overreporting,95
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,96
No,Yes,Yes,No,No,Yes,F,llama3.1:70b,overreporting,97
No,Yes,Yes,No,No,Yes,C,llama3.1:70b,overreporting,98
No,Yes,Yes,No,Yes,Yes,F,llama3.1:70b,overreporting,99
No,Yes,Yes,Yes,No,No,C,llama3.1:70b,overreporting,100
