A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,1
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,2
No,No,No,No,No,No,None,llama3.1:8b,underreporting,3
Yes,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,4
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,5
No,No,Yes,No,Yes,Yes,C,llama3.1:8b,underreporting,6
No,No,Yes,Yes,No,No,C,llama3.1:8b,underreporting,7
No,No,Yes,No,Yes,Yes,F,llama3.1:8b,underreporting,8
No,No,Yes,No,No,Yes,C,llama3.1:8b,underreporting,9
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,10
No,Yes,Yes,No,No,Yes,C,llama3.1:8b,underreporting,11
Yes,No,Yes,No,No,No,C,llama3.1:8b,underreporting,12
No,No,Yes,No,Yes,No,E,llama3.1:8b,underreporting,13
Yes,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,14
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,15
No,No,Yes,No,No,No,C,llama3.1:8b,underreporting,16
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,17
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,18
Yes,No,No,Yes,Yes,No,A,llama3.1:8b,underreporting,19
Yes,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,20
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,21
No,No,Yes,No,Yes,No,E,llama3.1:8b,underreporting,22
No,No,Yes,No,Yes,No,E,llama3.1:8b,underreporting,23
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,24
No,No,No,Yes,Yes,No,E,llama3.1:8b,underreporting,25
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,26
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,27
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,28
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,29
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,30
No,No,Yes,No,No,No,C,llama3.1:8b,underreporting,31
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,32
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,33
No,No,Yes,No,Yes,No,E,llama3.1:8b,underreporting,34
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,35
No,No,No,No,Yes,No,E,llama3.1:8b,underreporting,36
No,No,Yes,No,Yes,No,C,llama3.1:8b,underreporting,37
Yes,No,No,No,Yes,No,A,llama3.1:8b,underreporting,38
