A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,1
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,2
No,Yes,Yes,No,No,No,C,mistral:7b,underreporting,3
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,4
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,5
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,6
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,7
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,8
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,9
No,Yes,No,No,Yes,Yes,B,mistral:7b,underreporting,10
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,11
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,12
No,Yes,No,No,Yes,Yes,B,mistral:7b,underreporting,13
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,14
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,15
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,16
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,17
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,18
No,Yes,No,No,No,Yes,B,mistral:7b,underreporting,19
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,20
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,21
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,22
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,23
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,24
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,25
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,26
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,27
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,28
No,Yes,Yes,No,No,Yes,B,mistral:7b,underreporting,29
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,30
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,31
No,Yes,Yes,No,Yes,No,B,mistral:7b,underreporting,32
No,Yes,No,No,No,No,B,mistral:7b,underreporting,33
No,No,No,No,No,Yes,F,mistral:7b,underreporting,34
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,35
No,Yes,Yes,No,Yes,Yes,C,mistral:7b,underreporting,36
No,Yes,Yes,No,Yes,Yes,B,mistral:7b,underreporting,37
No,Yes,Yes,No,No,Yes,F,mistral:7b,underreporting,38
No,Yes,Yes,No,No,No,B,mistral:7b,underreporting,39
No,Yes,Yes,No,Yes,Yes,F,mistral:7b,underreporting,40
