A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,1
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,2
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,3
No,Yes,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,4
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,5
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,6
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,7
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,8
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,9
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,10
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,11
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,12
No,No,Yes,No,No,Yes,No,gemini-1.5-flash-002,underreporting,13
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,14
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,15
No,Yes,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,16
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,17
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,18
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,19
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,20
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,21
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,22
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,23
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,24
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,25
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,26
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,27
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,28
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,29
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,30
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,31
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,32
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,33
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,34
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,35
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,36
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,37
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,38
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,39
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,40
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,41
No,No,Yes,No,No,Yes,No,gemini-1.5-flash-002,underreporting,42
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-002,underreporting,43
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-002,underreporting,44
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,45
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-002,underreporting,46
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,47
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,48
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-002,underreporting,49
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-002,underreporting,50
No,Yes,Yes,No,No,Yes,Yes,gemini-1.5-flash-002,underreporting,51
