A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,1
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,2
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,3
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,4
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,5
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,6
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,7
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,8
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,9
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,10
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,11
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,12
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,13
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,14
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,15
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,16
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,17
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,18
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,underreporting,19
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,20
Yes,No,Yes,Yes,Yes,No,No,gemini-1.5-flash-8b,underreporting,21
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,22
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,23
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,24
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,25
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,26
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,27
No,Yes,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,28
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,29
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,30
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,31
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,underreporting,32
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,33
No,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,underreporting,34
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,35
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,36
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,37
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,38
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,39
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,underreporting,40
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,underreporting,41
Yes,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,underreporting,42
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,underreporting,43
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,underreporting,44
