A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,1
No,Yes,Yes,No,No,Yes,No,gemma2:27b,underreporting,2
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,3
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,4
Yes,No,Yes,Yes,Yes,Yes,No,gemma2:27b,underreporting,5
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,6
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,7
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,8
No,No,Yes,No,Yes,Yes,No,gemma2:27b,underreporting,9
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,10
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,11
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,12
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,13
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,14
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,15
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,16
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,17
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,18
No,No,No,No,Yes,No,Yes,gemma2:27b,underreporting,19
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,20
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,21
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,22
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,23
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,24
No,No,Yes,No,No,No,Yes,gemma2:27b,underreporting,25
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,26
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,27
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,28
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,29
No,Yes,No,No,Yes,No,Yes,gemma2:27b,underreporting,30
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,31
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,32
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,33
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,34
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,35
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,36
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,37
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,38
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,39
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,40
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,41
No,No,Yes,No,Yes,Yes,No,gemma2:27b,underreporting,42
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,43
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,44
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,45
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,46
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,47
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,48
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,49
No,Yes,Yes,No,No,Yes,No,gemma2:27b,underreporting,50
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,51
No,No,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,52
No,No,No,No,Yes,No,Yes,gemma2:27b,underreporting,53
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,54
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,55
No,Yes,Yes,No,No,No,Yes,gemma2:27b,underreporting,56
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,57
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,58
No,No,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,59
No,No,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,60
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:27b,underreporting,61
No,Yes,Yes,No,Yes,No,Yes,gemma2:27b,underreporting,62
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,63
No,No,No,No,Yes,No,No,gemma2:27b,underreporting,64
No,Yes,Yes,No,No,Yes,Yes,gemma2:27b,underreporting,65
