A,B,C,D,E,F,G,model,survey,id
Yes,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,1
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,2
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,3
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,4
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,5
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,6
Yes,Yes,No,No,Yes,No,Yes,gpt-4o,underreporting,7
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,8
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,9
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,10
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,11
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,12
Yes,Yes,No,No,No,No,Yes,gpt-4o,underreporting,13
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,14
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,15
No,Yes,No,No,No,No,Yes,gpt-4o,underreporting,16
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,17
No,Yes,No,No,Yes,Yes,Yes,gpt-4o,underreporting,18
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,19
Yes,Yes,No,No,No,No,Yes,gpt-4o,underreporting,20
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o,underreporting,21
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,22
Yes,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,23
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,24
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o,underreporting,25
No,Yes,No,Yes,No,Yes,Yes,gpt-4o,underreporting,26
No,Yes,Yes,No,No,Yes,Yes,gpt-4o,underreporting,27
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,28
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,29
No,No,Yes,No,Yes,Yes,No,gpt-4o,underreporting,30
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,31
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,32
No,Yes,Yes,No,Yes,No,Yes,gpt-4o,underreporting,33
No,Yes,No,No,Yes,No,Yes,gpt-4o,underreporting,34
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,35
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,36
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,37
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,38
No,Yes,No,No,Yes,Yes,Yes,gpt-4o,underreporting,39
No,Yes,No,No,No,Yes,Yes,gpt-4o,underreporting,40
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,41
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,42
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,43
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,44
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,45
No,Yes,Yes,No,No,Yes,Yes,gpt-4o,underreporting,46
No,Yes,No,No,Yes,No,Yes,gpt-4o,underreporting,47
No,Yes,No,No,Yes,Yes,Yes,gpt-4o,underreporting,48
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,49
No,Yes,Yes,No,No,Yes,Yes,gpt-4o,underreporting,50
No,Yes,Yes,No,No,Yes,No,gpt-4o,underreporting,51
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,52
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,53
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,54
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o,underreporting,55
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,56
Yes,Yes,No,No,No,No,Yes,gpt-4o,underreporting,57
No,Yes,Yes,No,Yes,Yes,No,gpt-4o,underreporting,58
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o,underreporting,59
