A,B,C,D,E,F,G,model,survey,id
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,1
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,2
No,No,Yes,No,No,Yes,No,llama3.1:8b,overreporting,3
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,4
No,Yes,No,No,Yes,No,No,llama3.1:8b,overreporting,5
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,6
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,7
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,8
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,9
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,10
No,No,Yes,No,No,No,Yes,llama3.1:8b,overreporting,11
No,No,Yes,No,Yes,No,Yes,llama3.1:8b,overreporting,12
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,13
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,14
Yes,No,Yes,No,No,No,No,llama3.1:8b,overreporting,15
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,16
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,17
Yes,No,Yes,Yes,Yes,No,Yes,llama3.1:8b,overreporting,18
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,19
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,20
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,21
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,22
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,23
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,24
Yes,No,Yes,No,No,No,No,llama3.1:8b,overreporting,25
Yes,No,Yes,Yes,Yes,Yes,No,llama3.1:8b,overreporting,26
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,27
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,28
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,29
No,No,Yes,No,No,No,No,llama3.1:8b,overreporting,30
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,31
No,Yes,Yes,No,Yes,No,Yes,llama3.1:8b,overreporting,32
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,33
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,34
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,35
No,Yes,No,No,Yes,No,No,llama3.1:8b,overreporting,36
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,37
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,38
No,Yes,Yes,No,No,Yes,Yes,llama3.1:8b,overreporting,39
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,40
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,41
No,No,No,No,Yes,Yes,No,llama3.1:8b,overreporting,42
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,43
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,44
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,45
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,46
No,No,Yes,No,Yes,Yes,Yes,llama3.1:8b,overreporting,47
No,No,Yes,Yes,No,Yes,Yes,llama3.1:8b,overreporting,48
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,49
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,50
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,51
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,52
No,Yes,Yes,No,Yes,No,Yes,llama3.1:8b,overreporting,53
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,54
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,55
No,No,Yes,Yes,No,No,No,llama3.1:8b,overreporting,56
Yes,No,No,Yes,No,Yes,No,llama3.1:8b,overreporting,57
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,58
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,59
No,No,Yes,No,No,No,Yes,llama3.1:8b,overreporting,60
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,61
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,62
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,63
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,64
Yes,No,Yes,Yes,Yes,No,No,llama3.1:8b,overreporting,65
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,66
Yes,No,Yes,Yes,No,Yes,No,llama3.1:8b,overreporting,67
Yes,No,Yes,No,No,No,No,llama3.1:8b,overreporting,68
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,69
No,No,Yes,No,No,Yes,Yes,llama3.1:8b,overreporting,70
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,71
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,72
Yes,No,Yes,No,Yes,No,Yes,llama3.1:8b,overreporting,73
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,74
Yes,No,No,No,Yes,Yes,No,llama3.1:8b,overreporting,75
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,76
No,No,No,No,No,Yes,No,llama3.1:8b,overreporting,77
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,78
No,No,No,No,Yes,Yes,No,llama3.1:8b,overreporting,79
Yes,No,No,Yes,Yes,No,No,llama3.1:8b,overreporting,80
No,No,Yes,No,Yes,Yes,Yes,llama3.1:8b,overreporting,81
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,82
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,83
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,84
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,85
No,Yes,Yes,No,Yes,No,Yes,llama3.1:8b,overreporting,86
No,Yes,No,No,Yes,No,Yes,llama3.1:8b,overreporting,87
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,88
No,No,No,No,Yes,No,Yes,llama3.1:8b,overreporting,89
Yes,No,Yes,No,No,No,No,llama3.1:8b,overreporting,90
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,91
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,92
Yes,No,No,No,Yes,No,No,llama3.1:8b,overreporting,93
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,94
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,95
No,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,96
No,No,No,No,No,No,Yes,llama3.1:8b,overreporting,97
No,Yes,Yes,No,Yes,No,No,llama3.1:8b,overreporting,98
No,No,No,No,Yes,No,No,llama3.1:8b,overreporting,99
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,overreporting,100
