A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,1
Yes,No,No,No,Yes,No,No,llama3.1:8b,underreporting,2
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,3
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,4
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,5
No,No,Yes,No,Yes,Yes,Yes,llama3.1:8b,underreporting,6
No,No,Yes,Yes,Yes,Yes,No,llama3.1:8b,underreporting,7
No,No,No,Yes,Yes,Yes,No,llama3.1:8b,underreporting,8
No,No,Yes,No,No,Yes,No,llama3.1:8b,underreporting,9
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,10
No,Yes,Yes,No,No,No,Yes,llama3.1:8b,underreporting,11
Yes,No,Yes,No,No,No,No,llama3.1:8b,underreporting,12
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,13
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,14
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,15
No,No,Yes,No,No,No,No,llama3.1:8b,underreporting,16
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,17
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,18
Yes,No,No,No,Yes,Yes,No,llama3.1:8b,underreporting,19
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,20
No,No,Yes,No,Yes,Yes,No,llama3.1:8b,underreporting,21
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,22
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,23
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,24
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,25
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,26
No,No,Yes,No,Yes,No,Yes,llama3.1:8b,underreporting,27
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,28
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,29
No,No,Yes,No,No,No,No,llama3.1:8b,underreporting,30
No,No,Yes,No,No,No,No,llama3.1:8b,underreporting,31
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,32
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,33
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,34
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,35
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,36
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,37
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,38
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,39
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,40
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,41
No,Yes,Yes,No,No,Yes,Yes,llama3.1:8b,underreporting,42
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,43
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,44
No,No,Yes,No,No,Yes,No,llama3.1:8b,underreporting,45
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,46
No,No,Yes,No,Yes,Yes,Yes,llama3.1:8b,underreporting,47
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,48
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,49
Yes,No,No,Yes,Yes,No,No,llama3.1:8b,underreporting,50
No,No,Yes,No,Yes,No,Yes,llama3.1:8b,underreporting,51
No,No,Yes,No,Yes,Yes,No,llama3.1:8b,underreporting,52
No,Yes,No,No,No,No,Yes,llama3.1:8b,underreporting,53
No,Yes,No,No,Yes,No,No,llama3.1:8b,underreporting,54
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,55
No,Yes,No,No,No,No,Yes,llama3.1:8b,underreporting,56
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,57
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,58
No,Yes,Yes,No,Yes,Yes,No,llama3.1:8b,underreporting,59
No,No,Yes,No,No,Yes,No,llama3.1:8b,underreporting,60
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,61
No,No,Yes,No,Yes,Yes,No,llama3.1:8b,underreporting,62
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,63
No,No,Yes,No,Yes,Yes,Yes,llama3.1:8b,underreporting,64
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,65
No,No,Yes,No,No,Yes,Yes,llama3.1:8b,underreporting,66
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,67
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,68
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,69
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,70
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,71
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,72
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,73
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,74
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,75
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,76
Yes,No,No,No,Yes,No,No,llama3.1:8b,underreporting,77
Yes,No,Yes,Yes,No,Yes,No,llama3.1:8b,underreporting,78
Yes,No,No,No,No,No,No,llama3.1:8b,underreporting,79
No,Yes,No,No,Yes,No,Yes,llama3.1:8b,underreporting,80
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,81
Yes,No,Yes,No,Yes,Yes,No,llama3.1:8b,underreporting,82
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,83
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,84
Yes,No,Yes,No,No,No,No,llama3.1:8b,underreporting,85
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,86
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,87
Yes,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,88
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,89
No,No,Yes,No,Yes,No,Yes,llama3.1:8b,underreporting,90
No,No,No,No,Yes,No,No,llama3.1:8b,underreporting,91
No,No,Yes,Yes,No,Yes,No,llama3.1:8b,underreporting,92
No,No,Yes,No,Yes,No,No,llama3.1:8b,underreporting,93
