A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,1
No,No,No,No,Yes,No,Yes,mistral:7b,overreporting,2
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,3
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,4
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,5
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,6
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,7
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,8
No,No,Yes,No,Yes,No,Yes,mistral:7b,overreporting,9
No,No,Yes,No,Yes,No,Yes,mistral:7b,overreporting,10
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,11
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,12
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,13
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,14
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,15
No,No,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,16
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,17
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,18
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,19
No,Yes,Yes,No,No,Yes,No,mistral:7b,overreporting,20
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,21
No,Yes,Yes,No,No,Yes,No,mistral:7b,overreporting,22
No,No,Yes,No,Yes,Yes,No,mistral:7b,overreporting,23
No,No,Yes,No,No,Yes,Yes,mistral:7b,overreporting,24
No,Yes,No,No,No,Yes,Yes,mistral:7b,overreporting,25
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,26
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,27
No,No,Yes,No,No,No,Yes,mistral:7b,overreporting,28
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,29
No,No,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,30
No,No,Yes,No,No,Yes,Yes,mistral:7b,overreporting,31
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,32
No,No,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,33
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,34
No,No,No,No,No,Yes,Yes,mistral:7b,overreporting,35
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,36
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,37
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,38
No,No,Yes,No,No,Yes,Yes,mistral:7b,overreporting,39
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,40
No,No,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,41
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,42
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,43
No,No,Yes,No,No,Yes,Yes,mistral:7b,overreporting,44
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,45
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,46
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,47
No,No,Yes,No,Yes,No,No,mistral:7b,overreporting,48
No,No,Yes,No,No,Yes,No,mistral:7b,overreporting,49
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,50
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,51
No,No,No,No,No,No,No,mistral:7b,overreporting,52
No,Yes,Yes,No,No,No,No,mistral:7b,overreporting,53
No,Yes,No,No,Yes,No,No,mistral:7b,overreporting,54
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,55
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,56
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,57
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,58
No,No,Yes,No,No,No,Yes,mistral:7b,overreporting,59
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,60
No,Yes,No,No,Yes,Yes,Yes,mistral:7b,overreporting,61
No,No,No,Yes,Yes,Yes,Yes,mistral:7b,overreporting,62
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,63
No,Yes,Yes,No,No,No,Yes,mistral:7b,overreporting,64
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,65
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,66
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,67
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,68
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,69
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,70
No,Yes,Yes,No,Yes,No,No,mistral:7b,overreporting,71
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,72
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,73
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,74
No,Yes,No,No,No,No,Yes,mistral:7b,overreporting,75
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,76
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,77
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,78
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,79
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,80
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,81
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,82
No,Yes,Yes,No,Yes,Yes,No,mistral:7b,overreporting,83
No,Yes,Yes,No,Yes,No,No,mistral:7b,overreporting,84
No,Yes,Yes,No,No,No,Yes,mistral:7b,overreporting,85
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,86
No,No,Yes,No,Yes,No,Yes,mistral:7b,overreporting,87
No,Yes,No,No,Yes,Yes,Yes,mistral:7b,overreporting,88
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,89
No,No,Yes,No,Yes,No,Yes,mistral:7b,overreporting,90
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,91
No,Yes,Yes,No,No,Yes,Yes,mistral:7b,overreporting,92
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,93
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,94
No,Yes,No,No,No,No,Yes,mistral:7b,overreporting,95
No,Yes,No,No,Yes,No,Yes,mistral:7b,overreporting,96
No,Yes,Yes,No,Yes,Yes,Yes,mistral:7b,overreporting,97
No,No,Yes,No,No,Yes,Yes,mistral:7b,overreporting,98
No,Yes,Yes,No,Yes,No,Yes,mistral:7b,overreporting,99
No,Yes,Yes,No,No,No,Yes,mistral:7b,overreporting,100
